route_id,catchment,frequency (veh/hours),fleet,length (m),num station,veh.km/h,round trip time (s)
CITSO_33,17615.5,0.84,2.0,23617.0,95,25.2,3300.0
CITSO_22,31912.91,1.34,1.0,23084.0,70,25.2,3120.0
CITSO_31,42239.15,1.05,3.0,54777.0,121,61.2,6540.0
CITSO_20,4774.29,0.67,2.0,41303.0,166,28.8,4260.0
CITSO_28,23217.3,3.31,6.0,106308.0,126,162.0,10680.0
CITSO_29,26159.99,1.34,1.0,21149.0,43,28.8,1920.0
CITSO_32,42746.9,1.34,2.0,54407.0,125,46.8,6540.0
CITSO_25,34872.72,0.84,2.0,43257.0,97,39.6,5280.0
TRAINS_4,210537.12,1.68,3.0,167856.0,39,104.4,12900.0
TRAINS_1,118439.18,2.01,3.0,182188.0,66,86.4,16320.0
TRAINS_5,101618.25,2.01,2.0,25848.0,11,54.0,2400.0
TRAINS_2,154263.29,1.34,3.0,80007.0,31,82.8,8340.0
TRAINS_6,142265.36,1.34,2.0,99533.0,24,68.4,8700.0
TRAINS_3,58988.8,1.34,2.0,34651.0,7,46.8,2700.0
CITCRC_12,9207.28,4.36,2.0,8365.0,35,39.6,1140.0
CITCRC_13,4594.44,4.02,2.0,7811.0,30,32.4,1080.0
CITCRC_600,12037.94,0.67,1.0,29129.0,29,21.6,2580.0
CITCRC_500,11777.79,,0.0,56158.0,42,0.0,4200.0
CITCRC_450,9510.95,,0.0,17765.0,9,0.0,1380.0
CITCRC_401,10132.8,1.34,1.0,27956.0,7,39.6,1680.0
CITCRC_400,10795.64,6.51,10.0,85604.0,11,507.6,5040.0
CITCRC_302,20403.16,,0.0,35099.0,36,0.0,3300.0
CITCRC_301,20469.24,0.67,3.0,113287.0,93,64.8,9480.0
CITCRC_14,8913.89,1.34,1.0,13223.0,61,18.0,1800.0
CITCRC_300,6634.85,,0.0,30906.0,5,0.0,2340.0
CITCRC_15,6808.62,1.34,2.0,31053.0,61,43.2,3120.0
CITCRC_10,7138.93,7.71,2.0,3883.0,22,32.4,600.0
CITCRC_11,7325.07,4.36,2.0,5546.0,21,25.2,840.0
CITPI_10,8232.08,,0.0,65737.0,42,0.0,4620.0
CITPI_51,8371.32,1.34,2.0,83265.0,137,46.8,8820.0
CITPI_1,6750.53,1.68,1.0,11101.0,46,21.6,1560.0
CITPI_7,9330.56,1.43,5.0,71835.0,64,68.4,6960.0
CITPI_46,6566.8,1.01,1.0,16022.0,36,18.0,1997.0
CITPI_8,2869.4,1.68,1.0,8233.0,18,14.4,1140.0
CITPI_35,15850.48,1.25,4.0,69976.0,171,61.2,10140.0
CITPI_40,6371.5,3.52,4.0,67757.0,6,241.2,3600.0
CITPI_47,1081.3,1.01,1.0,15612.0,28,18.0,1800.0
CITPI_91,12967.77,,0.0,132326.0,21,0.0,12420.0
CITPI_15,18899.33,,0.0,14705.0,49,0.0,2220.0
CITPI_31,9699.67,1.01,1.0,12165.0,41,14.4,2160.0
CITPI_33,11142.34,1.01,1.0,10856.0,46,14.4,1680.0
CITPI_41,6876.45,1.01,1.0,13296.0,29,14.4,1860.0
CITPI_45,11810.03,,0.0,15208.0,50,0.0,2220.0
CITPI_44,5430.13,0.88,2.0,13606.0,14,18.0,1920.0
CITPI_61,4827.54,,0.0,122671.0,74,0.0,7500.0
CITPI_43,7839.9,1.01,1.0,10657.0,43,10.8,1800.0
CITPI_2,11897.95,1.34,1.0,22201.0,76,14.4,3240.0
CITPI_5,12849.02,2.18,2.0,13362.0,64,32.4,2040.0
CITPI_6,12448.62,1.68,1.0,8318.0,39,14.4,1320.0
CITPI_21,5116.93,1.01,1.0,54202.0,75,36.0,4620.0
CITPI_42,11434.04,1.01,1.0,10734.0,33,10.8,1920.0
CITPI_3,3274.07,1.68,1.0,12189.0,40,18.0,1442.0
CITPI_4,12621.0,2.01,1.0,7195.0,37,18.0,1141.0
CITPI_9,10975.72,1.68,1.0,11994.0,41,21.6,1620.0
MRCLM_27,22244.6,0.67,2.0,37488.0,139,18.0,5100.0
MRCLM_2,33623.01,2.68,3.0,23953.0,100,64.8,3180.0
MRCLM_140,10161.73,1.01,4.0,98854.0,134,108.0,10860.0
MRCLM_30,10518.52,0.86,2.0,35709.0,14,39.6,2280.0
MRCLM_3,33960.34,1.34,2.0,24208.0,96,36.0,3480.0
